Time,ilacco1_0_Mittelwerte,ilacco1_0_Standardabweichung,ilacco1_1_Mittelwerte,ilacco1_1_Standardabweichung,ilacco1_2_Mittelwerte,ilacco1_2_Standardabweichung
0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,-0.03534890054405986,0.011128712572381162,-0.03437418895024565,0.02157242911383766,-0.028488632559840413,0.005393410987712293
26.0,-0.07636581877892777,0.040112833973947014,-0.08127976255582314,0.035506716169292636,-0.06299228409622977,0.012292340045580528
39.0,-0.11695414852230897,0.052187008752555455,-0.0797314775621385,0.0409302160521391,-0.1008094014957923,0.013058775991410684
52.0,-0.14077575875385248,0.05372657256049501,-0.10791330563221017,0.04552354000997525,-0.13943697385385784,0.010074719407478616
65.0,-0.1505879612571762,0.053713872469856934,-0.13514379229182824,0.04582465427662254,-0.16277439497075794,0.013112633253850684
78.0,-0.16478064710673798,0.056163397717994494,-0.15677140048200003,0.04042911038468285,-0.1864720092010763,0.01428005243846073
91.0,-0.18479957365563668,0.05663347964106459,-0.16388940209432332,0.02888508085457093,-0.20931199198218775,0.019698701403709336
104.0,-0.20330309043794612,0.06463149877072903,-0.1859159198675618,0.042766952447314446,-0.23335302364722513,0.023636473591553818
117.0,-0.22565209129896888,0.07033314360230143,-0.22067299116171477,0.041544203644380495,-0.25608396441829,0.024782216598369846
130.0,-0.24935634957510996,0.08401937773237225,-0.2408709832916798,0.045724277340804274,-0.2826429864192448,0.02985158576578297
143.0,-0.27632986744633087,0.09458022210568816,-0.252544472185445,0.041674023506728934,-0.3034999247235151,0.035455377114673274
156.0,-0.3066453183758833,0.10377993988797826,-0.27425099472003917,0.052550327554675216,-0.3338017485926579,0.02906651808212118
169.0,-0.33680568885128354,0.11595588034361172,-0.2919922960224144,0.0566471604028522,-0.362119884395054,0.029516468849275487
182.0,-0.3652218828349502,0.12359208508359522,-0.3131743220594828,0.0571288028118284,-0.39199011387009036,0.023434622655627207
195.0,-0.39749392973380365,0.12425456718847783,-0.3389527635441552,0.06381927833372093,-0.41940986466349917,0.026686475468319423
208.0,-0.42335075264005867,0.12286433397484922,-0.3489881520044443,0.06351319994419222,-0.44714426692970793,0.03186354217318092
221.0,-0.4493889748514162,0.11542501137359616,-0.3375946702391981,0.08614368918034254,-0.471102124496985,0.03909365713315843
234.0,-0.4715811855887222,0.10552532588666919,-0.37784150449816395,0.07106707231298585,-0.4932876939342168,0.03903866848554864
247.0,-0.4921329705830724,0.09582739424225387,-0.3907930317419695,0.06893997415835398,-0.511173991764384,0.04208477809351127
260.0,-0.5073897854784793,0.08827056823317711,-0.39951860354187946,0.07080701229178153,-0.5220733528173789,0.04725151178467312
273.0,-0.5198788938978336,0.08124902207111485,-0.40837658671430904,0.06489295698211572,-0.5297844713823654,0.04846082696214772
286.0,-0.528963610474371,0.0792103647249065,-0.41890570706631847,0.06283433399452008,-0.5402796001169999,0.042387685907429584
299.0,-0.5371555146856862,0.07401943221628364,-0.41752398991180967,0.06410275103646025,-0.5492485816357984,0.03926050150318749
312.0,-0.5390216485313183,0.07039738697181523,-0.4171764875682337,0.05076779482624776,-0.5485614234671049,0.04458891183548778
325.0,-0.5375148072661919,0.06804077008268168,-0.43713180842794164,0.047964139835561144,-0.557466224623853,0.040432218078671256
338.0,-0.5336807192428643,0.06637517830619417,-0.4232691584973696,0.04183673267837724,-0.559183864020217,0.0413559265890183
351.0,-0.5285933340126117,0.06858385668436391,-0.4236175136298843,0.0370881149560617,-0.5624927570760748,0.038234686393980546
364.0,-0.5225313503868395,0.06612005950655876,-0.4209806221030546,0.036305292764068145,-0.5638698355901149,0.040076312212519484
377.0,-0.5158907009605848,0.06587322296289068,-0.43095826703194273,0.034349360139639525,-0.5638235266873997,0.04200815162167631
390.0,-0.5096137820987597,0.06482762868209675,-0.4260096775198856,0.03144131480835581,-0.5616127196518995,0.04505707239477637
403.0,-0.5051373051102962,0.06519872442993213,-0.42948682977161234,0.03493476806566961,-0.5606909653625124,0.042457062968750715
416.0,-0.5009607037731617,0.06668482829049076,-0.43027307038417373,0.03062705238875752,-0.5565828176502772,0.04248136723632041
429.0,-0.4988671173703909,0.06567360700305815,-0.425455689057483,0.032414868356245054,-0.5534951881660454,0.03815032738956979
442.0,-0.49861316804776007,0.06624069820072878,-0.357434825857271,0.1393138857589788,-0.5472135986669172,0.03615180686399624
455.0,-0.49669868592068983,0.06728742614239715,-0.3928421192231246,0.09053731445544412,-0.5419380278954167,0.0305099648849522
468.0,-0.4970797287251025,0.06723100701959889,-0.4191433589465497,0.05302028612661037,-0.5359282834837116,0.028368422381001575
481.0,-0.4969282325420403,0.06642459922214772,-0.42342584769415303,0.03416094989145467,-0.5311553711270419,0.020714535479523618
