Integrationszeit;;;;35;Ês;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Verzîgerungszeit;;;;6;Ês;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ruhezeit;;;;0;ms;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bereich der Platte;;;;B10-B12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Startzeit:;11.11.2025 16:15:02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zyklus Nr.;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61
Zeit [s];0;8;16;24;32;40;48;56;64;72;80;88;96;104;112;120;128;136;144;152;160;168;176;184;192;200;208;216;224;232;240;248;256;264;272;280;288;296;304;312;320;328;336;344;352;360;368;376;384;392;400;408;416;424;432;440;448;456;464;472;480
Temp. [¯C];--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
B10;21722;21648;21475;21359;21399;21542;21609;21637;21759;21719;21589;21309;21235;21349;21255;21159;21046;21140;21040;21002;20880;20863;20809;20676;20605;20495;20678;20621;20487;20358;20316;20235;20173;20149;20139;20131;19869;19864;19744;19618;19504;19451;19345;19396;19487;19356;19303;19375;19313;19200;19098;19097;19013;18925;18910;18799;18793;18900;18816;18827;18780
B11;43149;42379;41613;41216;40293;39972;39506;38999;38676;38964;38981;38371;38104;37326;36982;36717;36267;35977;35543;35417;35287;34847;34617;34199;34007;33849;33582;33585;33130;32919;32747;32808;32612;32437;32287;32186;31853;31792;31587;31352;31182;30863;30787;30791;30579;30645;30479;30532;30635;30238;30234;29987;30089;29718;29571;29784;29702;29497;29455;29379;29354
B12;30825;29776;28952;28274;27696;27225;26785;26560;26607;26210;26002;25946;25721;25597;25505;25334;25074;25191;25088;25023;25260;24981;25286;25073;25054;24875;24921;24776;24668;24580;24781;24552;24522;24484;24461;24376;24335;24243;24071;24148;24041;23918;24015;23875;23842;23860;24044;24067;23887;23710;23748;23752;23788;23657;23499;23409;23486;23646;23612;23313;23204
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kontrolle;0;-0,003406684;-0,01137096;-0,016711168;-0,014869717;-0,00828653;-0,005202099;-0,003913084;0,001703342;-0,000138109;-0,006122825;-0,019012982;-0,022419667;-0,017171531;-0,021498941;-0,025918424;-0,031120523;-0,026793113;-0,031396741;-0,033146119;-0,038762545;-0,039545162;-0,042031121;-0,048153945;-0,051422521;-0,056486511;-0,048061873;-0,050685941;-0,056854802;-0,062793481;-0,064727005;-0,068455943;-0,071310192;-0,072415063;-0,072875426;-0,073243716;-0,085305221;-0,085535402;-0,091059755;-0,096860326;-0,102108461;-0,104548384;-0,109428229;-0,107080379;-0,102891078;-0,10892183;-0,111361753;-0,108047141;-0,11090139;-0,11610349;-0,12079919;-0,120845226;-0,124712273;-0,128763466;-0,12945401;-0,134564036;-0,134840254;-0,129914373;-0,13378142;-0,133275021;-0,135438726
MCT;0;-0,017845141;-0,03559758;-0,044798257;-0,066189251;-0,073628589;-0,084428376;-0,096178359;-0,103664048;-0,096989501;-0,096595518;-0,110732578;-0,116920438;-0,134950984;-0,142923359;-0,149064868;-0,159493847;-0,166214744;-0,176272915;-0,179193029;-0,182205845;-0,192403068;-0,197733435;-0,207420798;-0,211870495;-0,215532226;-0,221720086;-0,22165056;-0,232195416;-0,237085448;-0,241071635;-0,23965793;-0,244200329;-0,248256043;-0,251732369;-0,254073096;-0,26179054;-0,263204246;-0,267955225;-0,273401469;-0,277341306;-0,284734293;-0,286495631;-0,286402929;-0,291316137;-0,289786554;-0,293633688;-0,292405386;-0,290018309;-0,299218985;-0,299311687;-0,305036038;-0,302672136;-0,31127025;-0,314677049;-0,309740666;-0,311641058;-0,316392037;-0,317365408;-0,319126747;-0,319706135
PfFNT;0;-0,034030819;-0,060762368;-0,082757502;-0,101508516;-0,116788321;-0,131062449;-0,138361719;-0,136836983;-0,149716139;-0,156463909;-0,158280616;-0,165579886;-0,169602595;-0,172587186;-0,178134631;-0,186569343;-0,182773723;-0,186115166;-0,188223844;-0,18053528;-0,189586375;-0,179691809;-0,186601784;-0,187218167;-0,193025142;-0,191532847;-0,196236821;-0,19974047;-0,202595296;-0,196074615;-0,20350365;-0,204476886;-0,205709651;-0,206455799;-0,209213301;-0,21054339;-0,213527981;-0,219107867;-0,216609895;-0,220081103;-0,224071371;-0,220924574;-0,225466342;-0,226536902;-0,22595296;-0,219983779;-0,219237632;-0,225077048;-0,23081914;-0,229586375;-0,22945661;-0,228288727;-0,232538524;-0,237664234;-0,240583942;-0,238085969;-0,232895377;-0,233998378;-0,243698297;-0,247234388
Endzeit:;11.11.2025 16:23:05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B10 = K;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B11 = M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B12 = L;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
